,CODE,name
104,03221330,Kronärtskockor
105,03221340,Spenat
106,03221400,Kålväxter
107,03221410,Vitkål
108,03221420,Blomkål
109,03221430,Broccoli
110,03221440,Brysselkål
111,03222000,Frukt och nötter
112,03222100,Tropisk frukt och nötter
113,03222110,Tropisk frukt
114,03222111,Bananer
115,03222112,Ananas
116,03222113,Mangor
117,03222114,Dadlar
118,03222115,Russin
119,03222116,Fikon
120,03222117,Avokador
121,03222118,Kiwifrukt
122,03222120,Kokosnötter
123,03222200,Citrusfrukt
124,03222210,Citroner
125,03222220,Apelsiner
126,03222230,Grapefrukt
127,03222240,Tangeriner
128,03222250,Limefrukter
129,03222300,Icke tropisk frukt
130,03222310,Bär
131,03222311,Korinter
132,03222312,Krusbär
133,03222313,Jordgubbar
134,03222314,Hallon
135,03222315,Tranbär
136,03222320,"Äpplen, päron och kvitten"
137,03222321,Äpplen
138,03222322,Päron
139,03222323,Kvitten
140,03222330,Stenfrukter
141,03222331,Aprikoser
142,03222332,Persikor
143,03222333,Körsbär
144,03222334,Plommon
145,03222340,Druvor
146,03222341,Bordsdruvor
147,03222342,Vindruvor
148,03222400,Oliver
149,03300000,"Jordbruks-, jakt- och fiskeprodukter"
150,03310000,"Fisk, skaldjur och akvatiska produkter"
151,03311000,Fisk
152,03311100,Plattfisk
153,03311110,Sjötunga
154,03311120,Rödspätta
155,03311200,Torskfiskar
156,03311210,Torsk
157,03311220,Sej
158,03311230,Kummel
159,03311240,Kolja
160,03311300,Sill
161,03311400,Tonfisk
162,03311500,Vitling
163,03311600,Skarpsill
164,03311700,Lax
165,03312000,Skaldjur
166,03312100,Ostron
167,03312200,Blötdjur och skaldjur
168,03312300,Akvatiska invertebrater
169,03313000,Akvatiska produkter
170,03313100,Koraller eller liknande produkter
171,03313200,Natursvamp
172,03313300,Sjögräs
173,03313310,Alger
174,03320000,"Kreatur, boskap och små djur"
175,03321000,Kreatur
176,03321100,Nötkreatur
177,03321200,Kalvar
178,03322000,Boskap
179,03322100,Får
180,03322200,Getter
181,03322300,Hästar
182,03323000,Svin
183,03324000,Levande fjäderfä
184,03325000,Små djur
185,03325100,Kaniner
186,03325200,Harar
187,03330000,Produkter från djur inom jordbruket
188,03331000,Färsk får- och getmjölk
189,03331100,Fårmjölk
190,03331200,Getmjölk
191,03332000,Ull och djurhår
192,03332100,Klippt ull
193,03332200,Djurhår
194,03333000,Färsk komjölk
195,03340000,Öronmärken för djur
196,03341000,Öronmärken för nötkreatur
197,03400000,Skogsbruk och skogsavverkning
198,03410000,Trä
199,03411000,Barrträ
200,03412000,Tropiska träslag
201,03413000,Brännved
202,03414000,Ohyvlat virke
203,03415000,Barrvirke
204,03416000,Träavfall
205,03417000,Träspill
206,03417100,Sågspån
207,03418000,Stockar
208,03418100,Lövträ
209,03419000,Virke
210,03419100,Virkesvaror
211,03419200,Gruvtimmer
212,03420000,Gummi
213,03421000,Balsam
214,03422000,Shellack
215,03430000,Kork
216,03431000,Naturkork
217,03432000,Korgvaror
218,03432100,Flätverk
219,03440000,Skogsprodukter
220,03441000,"Prydnadsväxter, gräs, mossor eller lavar"
221,03450000,Plantskoleprodukter
222,03451000,Växter
223,03451100,Fröplantor
224,03451200,Blomlökar
225,03451300,Buskar
226,03452000,Träd
227,03460000,Pappersmassa
228,03461000,Trämassa
229,03461100,Kemisk trämassa
230,09000000,"Petroleumprodukter, bränsle, elektricitet och andra energikällor"
231,09100000,Bränslen
232,09110000,Fasta bränslen
233,09111000,Kol och kolbaserade bränslen
234,09111100,Kol
235,09111200,Kolbränslen
236,09111210,Antracit
237,09111220,Briketter
238,09111300,Fossila bränslen
239,09111400,Träbränslen
240,09112000,Brunkol och torv
241,09112100,Brunkol
242,09112200,Torv
243,09113000,Koks
244,09120000,Gasformiga bränslen
245,09121000,"Stadsgas, ledningsgas eller liknande gaser"
246,09121100,Stadsgas eller liknande gaser
247,09121200,Ledningsgas
248,09122000,Propan och butan
249,09122100,Propangas
250,09122110,Flytande propangas
251,09122200,Butangas
252,09122210,Flytande butangas
253,09123000,Naturgas
254,09130000,Petroleum och destillat
255,09131000,Flygfotogen
256,09131100,Fotogenliknande flygbränsle
257,09132000,Bensin
258,09132100,Blyfri bensin
259,09132200,Blyad bensin
260,09132300,Etanolbensin
261,09133000,Motorgas (LPG)
262,09134000,Gasolja
263,09134100,Dieselolja
264,09134200,Dieselbränsle
265,09134210,"Dieselbränsle (0,2)"
266,09134220,Dieselbränsle (EN 590)
267,09134230,Biodiesel
268,09134231,Biodiesel (B20)
269,09134232,Biodiesel (B100)
270,09135000,Brännolja
271,09135100,Eldningsolja
272,09135110,Eldningsolja med låg svavelhalt
273,09200000,"Petroleum-, kol- och oljeprodukter"
274,09210000,Beredda smörjmedel
275,09211000,Smörjoljor och smörjmedel
276,09211100,Motoroljor
277,09211200,Kompressoroljor
278,09211300,Turbinoljor
279,09211400,Växellådsoljor
280,09211500,Transmissionsoljor
281,09211600,Hydrauloljor
282,09211610,Hydrauloljor
283,09211620,Formoljor
284,09211630,Rostskyddsoljor
285,09211640,Isoleroljor
286,09211650,Bromsvätskor
287,09211700,"Teknisk och medicinsk vit olja, paraffinolja"
288,09211710,Tekniska vita oljor
289,09211720,"Medicinsk vit olja, paraffinolja"
290,09211800,Oljor och produkter av petroleum
291,09211810,Tunn olja
292,09211820,Petroleumolja
293,09211900,Dragolja
294,09220000,"Vaselin, vaxer och specialdestillat"
295,09221000,Vaselin och vaxer
296,09221100,Vaselin
297,09221200,Paraffinvax
298,09221300,Petroleumvax
299,09221400,Restprodukter av petroleum
300,09222000,Specialdestillat
301,09222100,Lacknafta
302,09230000,Råolja
303,09240000,Olje- och kolrelaterade produkter
304,09241000,Bränn- eller oljeskiffer
305,09242000,Kolrelaterade produkter
306,09242100,Kololja
307,09300000,"Elektricitet, värme, sol- och kärnenergi"
308,09310000,Elektricitet
309,09320000,"Ånga, varmvatten och tillhörande produkter"
310,09321000,Varmvatten
311,09322000,Ånga
312,09323000,Fjärrvärme
313,09324000,Fjärrvärme på längre avstånd
314,09330000,Solenergi
315,09331000,Solcellsplattor
316,09331100,Solfångare
317,09331200,Solcellsmoduler
318,09332000,Solkraftverk
319,09340000,Kärnbränslen
320,09341000,Uran
321,09342000,Plutonium
322,09343000,Radioaktivt material
323,09344000,Radioisotoper
324,14000000,"Gruvprodukter, basmetaller och tillhörande produkter"
325,14200000,Sand och lera
326,14210000,"Grus, sand, krossad sten och ballast"
327,14211000,Sand
328,14211100,Natursand
329,14212000,"Granulat, stenflis, stenpulver, bokad sten, grus, krossad sten, stenblandningar, sandblandningar och övrig ballast"
330,14212100,Bokad sten och grus
331,14212110,Grus
332,14212120,Bokad sten
333,14212200,Stenmaterial
334,14212210,Blandning av grus och sand
335,14212300,Bokad och krossad sten
336,14212310,Ballast
337,14212320,Krossad granit
338,14212330,Krossad basalt
339,14212400,Jord
340,14212410,Matjord
341,14212420,Alv
342,14212430,Stenflis
343,14213000,"Makadam, tjärmakadam och oljesand"
344,14213100,Makadam
345,14213200,Tjärmakadam
346,14213300,Oljesand
347,14220000,Lera och kaolin
348,14221000,Lera
349,14222000,Kaolin
350,14300000,Kemiska mineraler och gödningsmineraler
351,14310000,Gödningsmineraler
352,14311000,"Naturligt kalcium, aluminiumkalciumfosfat och råa naturliga kaliumsalter"
353,14311100,Naturligt kalcium
354,14311200,Aluminiumkalciumfosfat
355,14311300,Råa naturliga kaliumsalter
356,14312000,Svavelkis
357,14312100,Obränt svavelkis
358,14320000,Kemiska mineraler
359,14400000,Salt och ren natriumklorid
360,14410000,Stensalt
361,14420000,Havssalt
362,14430000,"Indunstat salt, ren natriumklorid"
363,14450000,Saltlake
364,14500000,Liknande gruv- och stenbrottsprodukter
365,14520000,Ädel- och halvädelstenar; pimpsten; smärgel; naturliga slipmedel; övriga mineraler och ädelmetaller
366,14521000,Ädel- och halvädelstenar
367,14521100,Ädelstenar
368,14521140,Damm eller pulver från ädelstenar
369,14521200,Halvädelstenar
370,14521210,Damm eller pulver från halvädelstenar
371,14522000,Industridiamanter; pimpsten; smärgel och övriga naturliga slipmedel
372,14522100,Pimpsten
373,14522200,Industridiamanter
374,14522300,Smärgel
375,14522400,Naturliga slipmedel
376,14523000,"Liknande mineraler, ädelmetaller och tillhörande produkter"
377,14523100,Mineraler
378,14523200,Guld
379,14523300,Silver
380,14523400,Platina
381,14600000,Metallmalmer och legeringar
382,14610000,Metallmalmer
383,14611000,Järnmalmer
384,14612000,Icke järnhaltiga metallmalmer
385,14612100,Kopparmalmer
386,14612200,Nickelmalmer
387,14612300,Aluminiummalmer
388,14612400,Ädelmetallmalmer
389,14612500,Blymalmer
390,14612600,Zinkmalmer
391,14612700,Tennmalmer
392,14613000,Uran- och toriummalmer
393,14613100,Uranmalmer
394,14613200,Toriummalmer
395,14614000,Diverse malmer
396,14620000,Legeringar
397,14621000,Ferrolegeringar
398,14621100,Ferrolegeringar (ej EKSG)
399,14621110,Ferromangan
400,14621120,Ferrokrom
401,14621130,Ferronickel
402,14622000,Stål
403,14630000,"Slagg, krats, järnspill och -skrot"
404,14700000,Basmetaller
405,14710000,"Järn, bly, zink, tenn och koppar"
406,14711000,Järn
407,14711100,Tackjärn
408,14712000,Bly
409,14713000,Zink
410,14714000,Tenn
411,14715000,Koppar
412,14720000,"Aluminium, nickel, skandium, titan och vanadin"
413,14721000,Aluminium
414,14721100,Aluminiumoxid
415,14722000,Nickel
416,14723000,Skandium
417,14724000,Titan
418,14725000,Vanadin
419,14730000,"Krom, mangan, kobolt, yttrium och zirkonium"
420,14731000,Krom
421,14732000,Mangan
422,14733000,Kobolt
423,14734000,Yttrium
424,14735000,Zirkonium
425,14740000,"Molybden, teknetium, rutenium och rodium"
426,14741000,Molybden
427,14742000,Teknetium
428,14743000,Rutenium
429,14744000,Rodium
430,14750000,"Kadmium, lutetium, hafnium, tantal och volfram"
431,14751000,Kadmium
432,14752000,Lutetium
433,14753000,Hafnium
434,14754000,Tantal
435,14755000,Volfram
436,14760000,"Iridium, gallium, indium, tallium och barium"
437,14761000,Iridium
438,14762000,Gallium
439,14763000,Indium
440,14764000,Tallium
441,14765000,Barium
442,14770000,"Cesium, strontium, rubidium och kalcium"
443,14771000,Cesium
444,14772000,Strontium
445,14773000,Rubidium
446,14774000,Kalcium
447,14780000,"Kalium, magnesium, natrium och litium"
448,14781000,Kalium
449,14782000,Magnesium
450,14783000,Natrium
451,14784000,Litium
452,14790000,"Niob, osmium, rhenium och palladium"
453,14791000,Niob
454,14792000,Osmium
455,14793000,Rhenium
456,14794000,Palladium
457,14800000,Diverse icke-metalliska mineralprodukter
458,14810000,Slipkroppar
459,14811000,"Kvarnstenar, slipstenar och slipskivor"
460,14811100,Kvarnstenar
461,14811200,Slipstenar
462,14811300,Slipskivor
463,14812000,Slippulver eller -granulat
464,14813000,Artificiell korund
465,14814000,Artificiell grafit
466,14820000,Glas
467,14830000,Glasfibrer
468,14900000,Återvunna returråvaror
469,14910000,Återvunna returråvaror av metall
470,14920000,Återvunna returråvaror av icke-metall
471,14930000,Aska och restprodukter innehållande metaller
472,15000000,"Livsmedel, drycker, tobak o d"
473,15100000,"Animaliska livsmedel, kött och köttprodukter"
474,15110000,Kött
475,15111000,Nötkött
476,15111100,Oxkött
477,15111200,Kalvkött
478,15112000,Fjäderfä
479,15112100,Färskt fjäderfäkött
480,15112110,Gås
481,15112120,Kalkon
482,15112130,Kyckling
483,15112140,Anka
484,15112300,Lever av fjäderfä
485,15112310,Gåslever
486,15113000,Fläskkött
487,15114000,Inälvor
488,15115000,Lamm- och fårkött
489,15115100,Lammkött
490,15115200,Fårkött
491,15117000,Getkött
492,15118000,"Kött av häst, åsna, mula eller mulåsna"
493,15118100,Hästkött
494,15118900,"Kött av åsna, mula eller mulåsna"
495,15119000,Diverse kött
496,15119100,Kaninkött
497,15119200,Harkött
498,15119300,Vilt
499,15119400,Grodlår
500,15119500,Duva
501,15119600,Fiskkött
502,15130000,Köttvaror
503,15131000,Köttkonserver och köttprodukter
504,15131100,Korvköttsprodukter
505,15131110,Korvkött
506,15131120,Korvprodukter
507,15131130,Korv
508,15131134,Blodpudding och övrig blodkorv
509,15131135,Korv gjord på fjäderfäkött
510,15131200,"Torkat, saltat, rökt eller kryddat kött"
511,15131210,Saltad och rökt skinka
512,15131220,Bacon
513,15131230,Salami
514,15131300,Leverprodukter
515,15131310,Paté
516,15131320,Produkter av gås- eller anklever
517,15131400,Varor av fläskkött
518,15131410,Skinka
519,15131420,Köttbullar
520,15131490,Tillagade rätter av svinkött
521,15131500,Produkter av fjäderfä
522,15131600,Produkter av nöt- och kalvkött
523,15131610,Köttbullar av nötkött
524,15131620,Nötfärs
525,15131640,Nötfärsbiffar
526,15131700,Köttprodukter
527,15200000,Beredd och konserverad fisk
528,15210000,"Fiskfiléer, fisklever och rom"
529,15211000,Fiskfiléer
530,15211100,Färska fiskfiléer
531,15212000,Fiskägg
532,15213000,Fisklever
533,15220000,"Fryst fisk, fiskfiléer och övrig fisk"
534,15221000,Fryst fisk
535,15229000,Frysta fiskprodukter
536,15230000,Torkad eller saltad fisk; fisk i saltlake; rökt fisk
537,15231000,Torkad fisk
538,15232000,Saltad fisk
539,15233000,Fisk i saltlake
540,15234000,Rökt fisk
541,15235000,Inlagd fisk
542,15240000,Fisk på burk samt annan beredd eller konserverad fisk
543,15241000,Panerad eller konserverad fisk
544,15241100,Konserverad lax
545,15241200,Beredd eller konserverad sill
546,15241300,Sardiner
547,15241400,Konserverad tonfisk
548,15241500,Makrill
549,15241600,Ansjovis
550,15241700,Fiskpinnar
551,15241800,Panerade fiskprodukter
552,15242000,Tillagade fiskrätter
553,15243000,Fiskprodukter
554,15244000,Kaviar och fiskrom
555,15244100,Kaviar
556,15244200,Fiskrom
557,15250000,Fisk och skaldjur
558,15251000,Frysta skaldjur
559,15252000,Beredda eller konserverade skaldjur
560,15253000,Skaldjursprodukter
561,15300000,"Frukt, grönsaker och liknande produkter"
562,15310000,Potatis och potatisprodukter
563,15311000,Fryst potatis
564,15311100,Pommes frites
565,15311200,"Tärnad, skivad och övrig fryst potatis"
566,15312000,Potatisprodukter
567,15312100,Potatismospulver
568,15312200,Förfriterade pommes frites
569,15312300,Potatischips
570,15312310,Smaksatta potatischips
571,15312400,Potatissnacks
572,15312500,Potatiskroketter
573,15313000,Bearbetad potatis
574,15320000,Frukt- och grönsaksjuicer
575,15321000,Fruktjuicer
576,15321100,Apelsinjuice
577,15321200,Grapefruktjuice
578,15321300,Citronjuice
579,15321400,Ananasjuice
580,15321500,Druvjuice
581,15321600,Äppeljuice
582,15321700,Blandningar av okoncentrerade juicer
583,15321800,Juicekoncentrat
584,15322000,Grönsaksjuicer
585,15322100,Tomatjuice
586,15330000,Beredda eller bearbetade frukter och grönsaker
587,15331000,Beredda grönsaker
588,15331100,Färska eller frysta grönsaker
589,15331110,Bearbetade rotfrukter
590,15331120,Bearbetade rotknölar
591,15331130,"Bönor, ärtor, paprikor, tomater och andra grönsaker"
592,15331131,Bearbetade bönor
593,15331132,Bearbetade ärtor
594,15331133,Spritade ärter
595,15331134,Beredda tomater
596,15331135,Beredda svampar
597,15331136,Beredda paprikor
598,15331137,Böngroddar
599,15331138,Tryffel
600,15331140,Blad- och kålgrönsaker
601,15331142,Bearbetad vitkål
602,15331150,Bearbetade baljväxter
603,15331170,Frysta grönsaker
604,15331400,"Grönsaker, konserverade och/eller på burk"
605,15331410,Bönor i tomatsås
606,15331411,Vita bönor i tomatsås
607,15331420,Konserverade tomater
608,15331423,Tomater på burk
609,15331425,Tomatpuré
610,15331427,Koncentrerad tomatpuré
611,15331428,Tomatsås
612,15331430,Svamp på burk
613,15331450,Bearbetade oliver
614,15331460,Grönsaker på burk
615,15331461,Surkål på burk
616,15331462,Ärtor på burk
617,15331463,Spritade bönor på burk
618,15331464,Hela bönor på burk
619,15331465,Sparris på burk
620,15331466,Oliver på burk
621,15331470,Sockermajs
622,15331480,Tillfälligt konserverade grönsaker
623,15331500,"Grönsaker, konserverade i ättika"
624,15332000,Beredda frukter och nötter
625,15332100,Bearbetad frukt
626,15332140,Bearbetade äpplen
627,15332150,Bearbetade päron
628,15332160,Behandlade bananer
629,15332170,Rabarber
630,15332180,Meloner
631,15332200,"Sylt och marmelader, fruktgeléer, frukt- eller nötpuré och -massa"
632,15332230,Marmelader
633,15332231,Apelsinmarmelad
634,15332232,Citronmarmelad
635,15332240,Fruktgeléer
636,15332250,Fruktmos
637,15332260,Nötmassa
638,15332261,Jordnötssmör
639,15332270,Fruktpuréer
640,15332290,Sylter
641,15332291,Aprikossylt
642,15332292,Björnbärssylt
643,15332293,Svart vinbärssylt
644,15332294,Körsbärssylt
645,15332295,Hallonsylt
646,15332296,Jordgubbssylt
647,15332300,Bearbetade nötter
648,15332310,Rostade eller salta nötter
649,15332400,Konserverad frukt
650,15332410,Torkad frukt
651,15332411,Behandlade korinter
652,15332412,Behandlade russin
653,15332419,Sultanrussin
654,15333000,Vegetabiliska biprodukter
655,15400000,Animaliska eller vegetabiliska oljor och fetter
656,15410000,Råa animaliska eller vegetabiliska oljor och fetter
657,15411000,Animaliska eller vegetabiliska oljor
658,15411100,Vegetabiliska oljor
659,15411110,Olivolja
660,15411120,Sesamolja
661,15411130,Jordnötsolja
662,15411140,Kokosnötsolja
663,15411200,Matolja
664,15411210,Stekolja
665,15412000,Fetter
666,15412100,Animaliska fetter
667,15412200,Vegetabiliska fetter
668,15413000,Returprodukter i fast form från vegetabiliska fetter eller oljor
669,15413100,Oljekakor
670,15420000,Raffinerade oljor och fetter
671,15421000,Raffinerade oljor
672,15422000,Raffinerade fetter
673,15423000,Hydrogenerade eller förestrade oljor eller fetter
674,15424000,Vegetabiliska vaxer
675,15430000,Matfetter
676,15431000,Margarin och liknande produkter
677,15431100,Margarin
678,15431110,Flytande margarin
679,15431200,Magra och fettsnåla bordsmargariner
680,15500000,Mejeriprodukter
681,15510000,Mjölk och grädde
682,15511000,Mjölk
683,15511100,Pastöriserad mjölk
684,15511200,Steriliserad mjölk
685,15511210,Mjölk med lång hållbarhet
686,15511300,Skummjölk
687,15511400,Lättmjölk
688,15511500,Helfet mjölk
689,15511600,Kondenserad mjölk
690,15511700,Mjölkpulver
691,15512000,Grädde
692,15512100,Kaffegrädde
693,15512200,Grädde med en fetthalt av minst 45 viktprocent
694,15512300,"Tjock grädde med en fetthalt av minst 63 viktprocent (""clotted cream"")"
695,15512900,Vispgrädde
696,15530000,Smör
697,15540000,Ostprodukter
698,15541000,Ost
699,15542000,Färsk ost
700,15542100,Keso
701,15542200,Mjukost
702,15542300,Fetaost
703,15543000,"Riven, pulvriserad, blåmögel- och övrig ost"
704,15543100,Ädelost
705,15543200,Cheddarost
706,15543300,Riven ost
707,15543400,Parmesanost
708,15544000,Hårdost
709,15545000,Bredbar ost
710,15550000,Blandade mejeriprodukter
711,15551000,Yoghurt och övriga syrade mjölkprodukter
712,15551300,Yoghurt
713,15551310,Naturell yoghurt
714,15551320,Smaksatt yoghurt
715,15551500,Kärnmjölk
716,15552000,Kasein
717,15553000,Laktos eller laktossirap
718,15554000,Vassle
719,15555000,Glass och liknande produkter
720,15555100,Glass
721,15555200,Sorbet
722,15600000,"Spannmålsprodukter, stärkelse och stärkelseprodukter"
723,15610000,Sädesprodukter
724,15611000,Skalat ris
725,15612000,Mjöl av brödsäd och vegetabiliskt mjöl samt liknande produkter
726,15612100,Vetemjöl
727,15612110,Fullkornsmjöl
728,15612120,Bakmjöl
729,15612130,Vanligt mjöl
730,15612150,Vetemjöl för bakning av finare bakverk
731,15612190,Mjöl blandat med bakpulver
732,15612200,Mjöl av brödsäd
733,15612210,Majsmjöl
734,15612220,Rismjöl
735,15612300,Mjöl och grovt mjöl – vegetabliskt
736,15612400,Mixer för bakverk
737,15612410,Kakmixer
738,15612420,Bakmixer
739,15612500,Bakprodukter
740,15613000,Sädeskornsprodukter
741,15613100,Gryn
742,15613300,Flingor
743,15613310,Färdiga frukostflingor
744,15613311,Cornflakes
745,15613313,Müsli o. d.
746,15613319,Puffat vete
747,15613380,Havregryn
748,15614000,Behandlat ris
749,15614100,Långkornigt ris
750,15614200,Malet ris
751,15614300,Krossat ris
752,15615000,Kli
753,15620000,Stärkelse och stärkelseprodukter; socker och sockerprodukter
754,15621000,Majsolja
755,15622000,Glukos och glukosprodukter; fruktos och fruktosprodukter; socker och sockerprodukter
756,15622100,Glukos och glukosprodukter
757,15622110,Glukos
758,15622120,Glukossirap
759,15622300,Fruktos och fruktosprodukter
760,15622310,Fruktos
761,15622320,Fruktospreparat
762,15622321,Fruktoslösningar
763,15622322,Fruktossirap
764,15623000,Stärkelser
765,15624000,Tapioka
766,15625000,Mannagryn
767,15626000,Vaniljsåspulver
768,15700000,Djurfoder
769,15710000,Tillagat djurfoder för bruksdjur och övriga djur
770,15711000,Fiskmat
771,15712000,Torrfoder
772,15713000,Foder för sällskapsdjur
773,15800000,Diverse livsmedel
774,15810000,"Brödprodukter, färska bakverk och kakor"
775,15811000,Brödprodukter
776,15811100,Bröd
777,15811200,Småfranskor
778,15811300,Croissanter
779,15811400,"Tekakor (""crumpets"")"
780,15811500,Färdiga brödprodukter
781,15811510,Smörgåsar
782,15811511,Färdiga smörgåsar
783,15812000,Bakverk och kakor
784,15812100,Bakverk
785,15812120,Pajer
786,15812121,Matpajer
787,15812122,Efterrättspajer
788,15812200,Mjuka kakor
789,15813000,Frukostvaror
790,15820000,Skorpor och kex; bakverk och kakor med konserveringsmedel
791,15821000,Rostade brödprodukter och bakverk
792,15821100,Rostade brödprodukter
793,15821110,Rostat bröd
794,15821130,Knäckebröd
795,15821150,Skorpor
796,15821200,Småkakor
797,15830000,Socker och liknande produkter
798,15831000,Socker
799,15831200,Vitt socker
800,15831300,Lönnsocker och -sirap
801,15831400,Melass
802,15831500,Sockersirap
803,15831600,Honung
804,15832000,Restprodukter från sockerframställning
805,15833000,Sockerprodukter
806,15833100,Efterrätter
807,15833110,Pajbottnar
808,15840000,Kakao: choklad och sötsaker
809,15841000,Kakao
810,15841100,Kakaomassa
811,15841200,"Kakaosmör, -fett eller -olja"
812,15841300,Osötat kakaopulver
813,15841400,Sötat kakaopulver
814,15842000,Choklad och sötsaker
815,15842100,Choklad
816,15842200,Chokladvaror
817,15842210,Chokladdryck
818,15842220,Chokladkakor
819,15842300,Sötsaker
820,15842310,Karameller
821,15842320,Nougat
822,15842400,"Kanderad frukt, nötter eller syltade fruktskal"
823,15850000,Pastaprodukter
824,15851000,Mjölprodukter
825,15851100,Okokt pasta
826,15851200,Färdiglagad pasta och couscous
827,15851210,Färdiglagad pasta
828,15851220,Fylld pasta
829,15851230,Lasagne
830,15851250,Couscous
831,15851290,Konserverad pasta
832,15860000,"Kaffe, te och liknande produkter"
833,15861000,Kaffe
834,15861100,Rostat kaffe
835,15861200,Koffeinfritt kaffe
836,15862000,Kaffesurrogat
837,15863000,Te
838,15863100,Grönt te
839,15863200,Svart te
840,15864000,Te- eller mateprodukter
841,15864100,Tepåsar
842,15865000,Örtteer
843,15870000,Smaktillsatser och kryddor
844,15871000,Vinäger; såser; blandade smaktillsatser; senapspulver och -mjöl; färdig senap
845,15871100,Vinäger och vinägersurrogat/ersättning/substitut
846,15871110,Vinäger o. d.
847,15871200,"Såser, blandade smaktillsatser och kryddblandningar"
848,15871210,Sojasås
849,15871230,Tomatketchup
850,15871250,Senap
851,15871260,Såser
852,15871270,Blandade smaktillsatser
853,15871273,Majonnäs
854,15871274,Bredbart pålägg
855,15871279,Chutney
856,15872000,Örter och kryddor
857,15872100,Peppar
858,15872200,Kryddor
859,15872300,Örter
860,15872400,Salt
861,15872500,Ingefära
862,15880000,Speciella näringsprodukter
863,15881000,Homogeniserade livsmedel
864,15882000,Dietprodukter
865,15884000,Barnmat
866,15890000,Diverse livsmedel och torrvaror
867,15891000,Soppor och buljonger
868,15891100,Köttsoppor
869,15891200,Fisksoppor
870,15891300,Blandade soppor
871,15891400,Soppor
872,15891410,Soppmix
873,15891500,Buljong
874,15891600,Fond (koncentrerad buljong)
875,15891610,Buljongmix
876,15891900,Grönsakssoppor
877,15892000,"Grönsakssafter, vegetabiliska extrakt, peptiska substanser och förtjockningsmedel"
878,15892100,Grönsakssafter
879,15892200,Vegetabiliska extrakt
880,15892400,Förtjockningsmedel
881,15893000,Torrvaror
882,15893100,Matmix
883,15893200,Efterrättsmix
